players,nation,name,full_names,r1,r2
A Mohamed,Tanzania,Aisha Mohamed,0,A Mohamed,0
N Mapunda,Tanzania,Nasibu Mapunda,Nasibu Mapunda,N Mapunda,Nasibu Mapunda
FO Kibasu,Tanzania,Fatuma Kibasu,Fatuma Omari Kibasu,F Kibasu,FO Kibasu
AR Patwa,Tanzania,Abhik Patwa,Abhik Ramesh Patwa,A Patwa,AR Patwa
Akhil Anil,Tanzania,Akhil Anil,0,A Anil,0
AM Kimote,Tanzania,Ally Kimote,Ally Mpeka Kimote,A Kimote,AM Kimote
Shaik Basha,Tanzania,Shaik Basha,0,S Basha,0
Rahima Yahaya,Tanzania,Rahima Yahaya,0,R Yahaya,0
T Shabani,Tanzania,Tatu Shabani,0,T Shabani,0
Jitin Singh,Tanzania,Jitin Singh,Jitin Singh,J Singh,Jitin Singh
S Mtae,Tanzania,Saum Mtae,0,S Mtae,0
W Kevin,Tanzania,Winfrida Kevin,0,W Kevin,0
J Ulrik,Tanzania,Josephine Ulrik,0,J Ulrik,0
S Thakor,Tanzania,SanjayKumar Thakor,0,S Thakor,0
Zinaida Jeremiah,Tanzania,Zinaida Jeremiah,0,Z Jeremiah,0
M Pascal,Tanzania,Monica Pascal,0,M Pascal,0
K Nassoro,Tanzania,Kassim Nassoro,Kassim Nassoro,K Nassoro,Kassim Nassoro
M Whelan,Gibraltar,Matthew Whelan,0,M Whelan,0
J Horrocks,Gibraltar,Jack Horrocks,0,J Horrocks,0
J West,Gibraltar,Jonathan West,0,J West,0
P Hatchman,Gibraltar,Patrick Hatchman,0,P Hatchman,0
E Packard,Gibraltar,Edmund Packard,0,E Packard,0
R Cunningham,Gibraltar,Richard Cunningham,0,R Cunningham,0
M Gouws,Gibraltar,Mark Gouws,0,M Gouws,0
T Caruana,Gibraltar,Tim Caruana,0,T Caruana,0
L Bruce,Gibraltar,Louis Bruce,0,L Bruce,0
S Bodha,Gibraltar,Samarth Bodha,0,S Bodha,0
N Advani,Gibraltar,Nikhil Advani,0,N Advani,0
A Orfila,Gibraltar,Adam Orfila,0,A Orfila,0
A Reyes,Gibraltar,Andrew Reyes,0,A Reyes,0
Z Simpson,Gibraltar,Zachary Simpson,0,Z Simpson,0
K Nestor,Gibraltar,Kenroy Nestor,0,K Nestor,0
K Mirpuri,Gibraltar,Kabir Mirpuri,0,K Mirpuri,0
J Marples,Gibraltar,Joseph Marples,0,J Marples,0
Huzaifa Mohammed,Philippines,Huzaifa Mohammed,0,H Mohammed,0
