venue,wiki_names
"Wankhede Stadium, Mumbai",Wankhede Stadium
"Dr DY Patil Sports Academy, Mumbai",DY Patil Stadium
"Maharashtra Cricket Association Stadium, Pune",Maharashtra Cricket Association Stadium
"Brabourne Stadium, Mumbai",Brabourne Stadium
"Tribhuvan University International Cricket Ground, Kirtipur",Nepal national cricket team
"Desert Springs Cricket Ground, Almeria",Desert Springs Cricket Ground
Marsa Sports Club,Marsa Sports Club
"Centre for Cricket Development Ground, Windhoek",Ireland cricket team
"Hazelaarweg, Rotterdam",Hazelaarweg Stadion
"Eden Gardens, Kolkata",Eden Gardens
"Choice Moosa Stadium, Pearland",Moosa Stadium
"Moosa Cricket Stadium, Pearland",Moosa Stadium
Multan Cricket Stadium,Multan Cricket Stadium
"Kyambogo Cricket Ground, Kampala",Uganda national cricket team
Bayer Uerdingen Cricket Ground,List of Twenty20 International cricket grounds
"Kinrara Academy Oval, Kuala Lumpur",Kinrara Academy Oval
Galle International Stadium,Galle International Stadium
"Meersen, Gent",Gentbrugge
"Royal Brussels Cricket Club Ground, Waterloo",List of cricket grounds by capacity
Tikkurila Cricket Ground,List of Twenty20 International cricket grounds
Kerava National Cricket Ground,Kerava National Cricket Ground
"Indian Association Ground, Singapore",List of international cricket centuries by Sachin Tendulkar
"Sportpark Harga, Schiedam",List of women's Twenty20 International cricket grounds
"Sportpark Westvliet, Voorburg",List of One Day International cricket grounds
Bulawayo Athletic Club,Bulawayo Athletic Club
"Queens Sports Club, Bulawayo",Queens Sports Club
"UKM-YSD Cricket Oval, Bangi",List of Twenty20 International cricket grounds
"Mannofield Park, Aberdeen",List of Twenty20 International cricket grounds
"Hagley Oval, Christchurch",Hagley Oval
"Brisbane Cricket Ground, Woolloongabba, Brisbane",The Gabba
"Bellerive Oval, Hobart",Bellerive Oval
"Warner Park, Basseterre, St Kitts",Warner Park Sporting Complex
"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Daren Sammy Cricket Ground
"Queen's Park Oval, Port of Spain, Trinidad",Queen's Park Oval
"Brian Lara Stadium, Tarouba, Trinidad",Brian Lara Cricket Academy
"Providence Stadium, Guyana",Providence Stadium
Lisicji Jarak Cricket Ground,List of Twenty20 International cricket grounds
"Great Barrier Reef Arena, Mackay",Great Barrier Reef Arena
"Western Australia Cricket Association Ground, Perth",Perth Stadium
"Eastern Oval, Ballarat",Ballarat Cricket Association
"North Sydney Oval, Sydney",North Sydney Oval
"Lilac Hill Park, Perth",List of cricket grounds in Australia
"Junction Oval, Melbourne",Junction Oval
"Latrobe Recreation Ground, Latrobe",Bardon Latrobe FC
"Ted Summerton Reserve, Moe",List of cricket grounds in Australia
"Cazaly's Stadium, Cairns",Cazalys Stadium
Perth Stadium,Perth Stadium
Adelaide Oval,Adelaide Oval
Melbourne Cricket Ground,Melbourne Cricket Ground
"University of Tasmania Stadium, Launceston",York Park
Sydney Showground Stadium,Sydney Showground Stadium
"Docklands Stadium, Melbourne",Docklands Stadium
Sydney Cricket Ground,Sydney Cricket Ground
"Maple Leaf North-West Ground, King City",Maple Leaf Cricket Club
"Maple Leaf North-East Ground, King City",Maple Leaf Cricket Club
"Farmers Cricket Club Ground, St Martin",List of Twenty20 International cricket grounds
"Grainville, St Saviour",Nigeria national cricket team
