count,question,answer
0,What are the career batting statistics of Aisha Mohamed?,"{
  ""gender"": ""female"",
  ""department"": [""bat""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Aisha Mohamed"",
  ""format"": [""Test"", ""ODI"", ""T20""],
  ""innings"": ""all"",
  ""batter_number"": ""all""
}"
1,Tell me about Aisha Mohamed's total runs scored in Test.,"{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Aisha Mohamed"",
  ""format"": [""Test""],
  ""innings"": ""all""
}"
2,How many centuries has Aisha Mohamed scored in Test matches?,"{
  ""gender"": ""female"",
  ""department"": [""bat""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Aisha Mohamed"",
  ""format"": [""Test""],
  ""centuries"": ""to be determined""
}"
3,Give me the details of Aisha Mohamed's highest Test score.,"{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Aisha Mohamed"",
  ""format"": [""Test""],
  ""innings"": ""all""
}"
4,What is the strike rate of Aisha Mohamed in Test matches?,"{
  ""gender"": ""female"",
  ""department"": [""bat""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Aisha Mohamed"",
  ""format"": [""Test""],
  ""statistic"": ""strike rate""
}"
5,Show me the number of fours hit by Aisha Mohamed in the last South Africa in Australia Test Series season.,"{
  ""gender"": ""female"",
  ""department"": [""bat""],
  ""historic_event"": ""yes"",
  ""players_involved"": ""single"",
  ""player_name"": ""Aisha Mohamed"",
  ""teams_involved"": ""multiple"",
  ""team_name"": [""South Africa"", ""Australia""],
  ""format"": [""Test""],
  ""recent_type"": ""yes"",
  ""history"": ""no"",
  ""recent_number"": 1,
  ""statistic"": ""fours""
}"
6,How many sixes did Aisha Mohamed hit in his last Test match?,"{
  ""gender"": ""female"",
  ""department"": [""bat""],
  ""historic_event"": ""yes"",
  ""players_involved"": ""single"",
  ""player_name"": ""Aisha Mohamed"",
  ""format"": [""Test""],
  ""recent_type"": ""yes"",
  ""recent_number"": 1
}"
7,Tell me the average runs scored by Aisha Mohamed in Test cricket.,"{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Aisha Mohamed"",
  ""format"": [""Test""],
  ""statistics"": ""average_runs""
}"
8,What is the highest individual score of Aisha Mohamed in Test?,"{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Aisha Mohamed"",
  ""format"": [""Test""],
  ""innings"": ""all"",
  ""best_or_worst"": ""highest""
}"
9,Give me the career statistics of Aisha Mohamed in Test.,"{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Aisha Mohamed"",
  ""format"": [""Test""]
}"
10,What is the most recent century scored by Aisha Mohamed in Test?,"{
  ""gender"": ""female"",
  ""department"": [""bat""],
  ""historic_event"": ""yes"",
  ""players_involved"": ""single"",
  ""player_name"": ""Aisha Mohamed"",
  ""format"": [""Test""],
  ""innings"": ""all"",
  ""recent_type"": ""no"",
  ""history"": ""yes""
}"
11,How many fifties has Aisha Mohamed scored in Test?,"{
  ""gender"": ""female"",
  ""department"": [""bat""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Aisha Mohamed"",
  ""format"": [""Test""],
  ""innings"": ""all"",
  ""fifties"": ""number of fifties scored by the player in Test matches""
}"
12,Tell me about the centuries scored by Aisha Mohamed in Test matches.,"{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Aisha Mohamed"",
  ""format"": [""Test""],
  ""innings"": ""all"",
  ""history"": ""yes""
}"
13,What is the highest partnership between Aisha Mohamed and Aisha Mohamed in Test?,"{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""partnership"",
  ""player_name"": [""Aisha Mohamed"", ""Aisha Mohamed""],
  ""format"": [""Test""],
  ""innings"": ""all""
}"
14,Show me the batting statistics of Aisha Mohamed in the South Africa in Australia Test Series.,"{
  ""gender"": ""female"",
  ""department"": [""bat""],
  ""historic_event"": ""yes"",
  ""players_involved"": ""single"",
  ""player_name"": ""Aisha Mohamed"",
  ""teams_involved"": [""South Africa"", ""Australia""],
  ""format"": [""Test""],
  ""innings"": ""all""
}"
